color,dealer_rating,miles,miles_away,pricing,trim,year
Gray,,50960,143.5,19388,Grand Touring,2016
Blue,,41308,146.0,21339,Touring,2017
Red,,37094,160.5,18743,Touring,2016
,,46949,102.9,19899,Grand Touring,2016
Red,,39865,168.0,21988,Grand Touring,2016
Blue,,46930,109.5,16842,Sport,2016
Black,,19061,109.5,27975,Grand Touring,2019
Black,,81993,193.0,14988,Grand Touring,2014
White,,38285,193.8,19793,Touring,2016
White,,19545,111.4,20599,Touring,2016
White,,27620,111.4,22599,Grand Touring,2016
Black,,36129,113.7,18999,Touring,2016
Red,,35936,124.1,21976,Touring,2017
Blue,,24125,134.7,23588,Grand Touring,2018
Silver,,102296,143.9,14000,Grand Touring,2015
White,,37017,146.0,21599,Grand Touring,2016
Gray,,27310,155.2,24599,Grand Touring,2017
Gray,,54937,160.2,17300,Touring,2016
Gray,,60114,179.5,17800,Grand Touring,2016
Blue,,40238,181.1,21995,Touring,2017
Blue,,2776,181.1,25995,Sport,2019
Black,,67753,183.7,14995,Grand Touring,2016
Blue,,45348,183.7,15495,Touring,2016
Gray,,20615,183.7,16995,Grand Touring,2016
White,,38942,183.7,19995,Touring,2017
Blue,,25192,194.2,25900,Grand Touring,2018
Blue,,16633,194.2,27900,Grand Touring,2019
White,,3715,194.2,27900,Touring,2019
Silver,,3560,194.2,27900,Touring,2019
Black,,8122,194.2,28900,Touring,2019
Red,,44909,195.2,16995,Sport,2014
Silver,,33195,200.0,21999,Grand Touring,2016
Black,,32621,201.3,23900,Touring,2018
White,,35414,90.2,22945,Touring,2018
Red,,114798,149.5,11987,Grand Touring,2013
,,83010,64.5,14000,Grand Touring,2014
Blue,,85000,119.2,14000,Touring,2014
Silver,,22190,90.1,24500,Grand Touring,2018
Silver,,41440,,16800,Sport,2016
Silver,,39962,,17000,Sport,2016
Gray,,40319,,17100,Sport,2016
Gray,,34237,,17300,Sport,2016
Blue,,42176,,18400,Touring,2016
Blue,,37258,,18500,Touring,2016
Red,,42570,,18500,Touring,2016
Gray,,33294,,18600,Touring,2016
Black,,35049,,18700,Touring,2016
Silver,,34712,,18700,Touring,2016
Blue,,30444,,19000,Touring,2016
Black,,43726,,20800,Grand Touring,2016
Red,,39175,,21100,Grand Touring,2016
Silver,,34616,,21100,Grand Touring,2016
Blue,,34831,,21100,Grand Touring,2016
Black,,34779,,21200,Grand Touring,2016
Black,,35833,,21200,Grand Touring,2016
Silver,,34894,,21400,Grand Touring,2016
Black,,31195,,21500,Grand Touring,2016
Black,,31141,,21500,Grand Touring,2016
Blue,,31605,,21700,Grand Touring,2016
White,,35398,144.7,23790,Grand Touring,2017
Gray,,75037,185.3,16888,Grand Touring,2016
Blue,,93366,191.4,11995,Touring,2015
Blue,,17025,139.0,23950,Touring,2017
